time_s,H,S,V
24.324,189.02,10.50,70.77
24.402,188.07,10.42,70.75
24.478,188.78,10.47,70.75
24.544,188.73,10.39,70.76
24.617,188.24,10.47,70.75
24.694,188.71,10.43,70.75
24.773,188.35,10.38,70.74
24.850,188.96,10.48,70.76
24.926,188.87,10.28,70.70
25.008,188.81,10.40,70.75
25.084,188.84,10.37,70.75
25.170,189.36,10.47,70.78
25.246,188.79,10.42,70.71
25.322,189.09,10.45,70.77
25.404,188.77,10.38,70.74
25.477,187.88,10.40,70.76
25.557,189.00,10.43,70.80
25.638,188.21,10.43,70.74
25.707,188.43,10.41,70.74
25.789,188.96,10.43,70.75
25.870,187.95,10.46,70.76
25.945,188.50,10.37,70.74
26.023,189.00,10.43,70.79
26.105,188.81,10.45,70.78
26.177,189.08,10.48,70.76
26.258,188.55,10.45,70.77
26.330,188.35,10.46,70.75
26.415,188.99,10.47,70.77
26.508,188.16,10.46,70.76
26.587,188.83,10.40,70.76
26.665,188.69,10.50,70.81
26.744,189.06,10.40,70.76
26.834,188.68,10.42,70.77
26.912,188.06,10.42,70.77
26.986,189.07,10.43,70.77
27.068,189.69,10.45,70.83
27.141,189.26,10.49,70.83
27.222,189.20,10.39,70.77
27.300,188.26,10.44,70.78
27.379,189.13,10.45,70.79
27.470,188.60,10.37,70.76
27.565,188.95,10.52,70.82
27.644,188.69,10.43,70.78
27.720,188.37,10.46,70.77
27.796,189.12,10.41,70.78
27.876,189.01,10.44,70.77
27.954,188.12,10.48,70.78
28.033,189.21,10.46,70.75
28.114,188.78,10.45,70.79
28.199,188.86,10.49,70.81
28.284,189.40,10.39,70.77
28.360,188.34,10.47,70.81
28.434,188.77,10.46,70.78
28.514,188.39,10.41,70.78
28.596,188.79,10.45,70.78
28.669,188.71,10.47,70.78
28.742,188.79,10.45,70.80
28.829,189.64,10.47,70.80
28.900,188.71,10.48,70.78
28.981,188.96,10.53,70.81
29.042,189.08,10.40,70.74
29.117,188.15,10.47,70.78
29.197,188.92,10.45,70.78
29.273,188.50,10.40,70.75
29.346,188.91,10.49,70.79
29.425,189.26,10.41,70.77
29.505,188.49,10.41,70.76
29.577,188.67,10.38,70.75
29.655,188.95,10.36,70.74
29.731,188.15,10.46,70.77
29.811,188.83,10.43,70.76
29.887,189.02,10.35,70.73
29.970,188.51,10.45,70.78
30.042,189.14,10.44,70.79
30.120,188.00,10.47,70.77
30.202,188.06,10.45,70.74
30.278,188.26,10.40,70.71
30.353,189.29,10.38,70.77
30.449,189.32,10.36,70.74
30.527,188.62,10.34,70.73
30.604,187.85,10.37,70.72
30.681,188.24,10.33,70.73
30.758,189.19,10.44,70.77
30.835,189.51,10.46,70.77
30.915,189.54,10.41,70.78
30.992,188.12,10.43,70.76
31.069,188.69,10.43,70.78
31.132,188.16,10.44,70.77
31.207,188.16,10.44,70.77
31.269,189.16,10.50,70.78
31.349,189.54,10.52,70.83
31.426,188.46,10.45,70.77
31.502,189.29,10.48,70.78
31.580,188.20,10.39,70.74
