elapsed_ms,mean_h,mean_s,mean_v,matched_ratio
17508,53.62,29.46,149.48,0.000000
17561,53.58,29.67,149.51,0.000000
17610,52.81,29.71,149.50,0.000000
17665,52.97,29.67,149.48,0.000000
17717,53.12,29.66,149.57,0.000000
17770,52.06,29.63,149.52,0.000000
17823,52.72,29.66,149.50,0.000000
17876,53.33,29.57,149.53,0.000000
17930,52.73,29.70,149.53,0.000000
17983,53.18,29.66,149.59,0.000000
18034,52.79,29.72,149.54,0.000000
18084,53.52,29.74,149.55,0.000000
18136,52.91,29.68,149.51,0.000000
18189,52.53,29.96,149.61,0.000000
18240,52.95,29.49,149.52,0.000000
18297,53.14,29.64,149.64,0.000000
18349,52.73,29.53,149.60,0.000000
18400,53.01,29.56,149.57,0.000000
18457,52.92,29.86,149.66,0.000000
18509,53.23,29.80,149.61,0.000000
18562,52.68,29.71,149.57,0.000000
18615,52.90,29.79,149.55,0.000000
18667,52.82,29.59,149.58,0.000000
18719,53.26,29.54,149.57,0.000000
18769,52.66,29.73,149.55,0.000000
18824,53.13,29.72,149.56,0.000000
18877,53.06,30.05,149.60,0.000000
18929,52.83,29.68,149.58,0.000000
18983,52.74,29.83,149.58,0.000000
19036,52.72,29.64,149.53,0.000000
19088,52.72,29.64,149.61,0.000000
19138,52.97,29.64,149.52,0.000000
19189,53.77,29.87,149.60,0.000000
19243,52.97,29.68,149.57,0.000000
19297,53.19,29.62,149.55,0.000000
19349,52.74,29.81,149.56,0.000000
19400,52.69,29.69,149.56,0.000000
19451,52.69,29.71,149.52,0.000000
19501,52.51,29.72,149.55,0.000000
19554,52.75,29.86,149.57,0.000000
19607,53.01,29.63,149.56,0.000000
19662,52.64,29.60,149.46,0.000000
19716,53.44,29.50,149.48,0.000000
19767,53.10,29.74,149.50,0.000000
19822,52.94,29.61,149.40,0.000000
19874,52.87,29.66,149.35,0.000000
19927,52.68,29.87,149.37,0.000000
19979,53.09,29.62,149.34,0.000000
20032,52.76,29.67,149.37,0.000000
20083,53.01,29.68,149.41,0.000000
20134,52.98,29.74,149.32,0.000000
20188,52.72,29.73,149.39,0.000000
20237,53.23,29.71,149.40,0.000000
20293,52.94,29.64,149.37,0.000000
20344,53.68,29.52,149.40,0.000000
20393,52.83,29.58,149.36,0.000000
20444,52.97,29.80,149.42,0.000000
20502,52.83,29.73,149.47,0.000000
20549,53.36,29.76,149.48,0.000000
20599,53.02,29.92,149.43,0.000000
20646,52.53,29.74,149.44,0.000000
20694,53.20,29.67,149.42,0.000000
20745,53.40,29.62,149.49,0.000000
20794,52.78,29.74,149.41,0.000000
20845,53.36,29.58,149.41,0.000000
20896,52.54,29.86,149.47,0.000000
20944,53.09,29.76,149.40,0.000000
20992,52.64,29.58,149.50,0.000000
21039,52.91,29.97,149.55,0.000000
21088,52.75,29.78,149.44,0.000000
21134,53.25,29.77,149.40,0.000000
21181,52.05,29.73,149.43,0.000000
21230,52.35,29.78,149.43,0.000000
21282,52.27,29.86,149.47,0.000000
21333,52.01,29.63,149.45,0.000000
21383,53.02,29.88,149.52,0.000000
21432,52.30,29.85,149.47,0.000000
21479,52.27,29.72,149.45,0.000000
21527,52.68,29.75,149.41,0.000000
21575,52.15,30.09,149.44,0.000000
21622,52.52,29.74,149.42,0.000000
21670,52.42,29.73,149.48,0.000000
21717,52.31,30.01,149.42,0.000000
21765,52.95,29.91,149.41,0.000000
21812,52.57,29.88,149.51,0.000000
21859,52.80,29.87,149.45,0.000000
21908,52.21,29.75,149.44,0.000000
21956,52.04,29.99,149.44,0.000000
22003,52.15,30.04,149.48,0.000000
22051,52.19,29.80,149.43,0.000000
22100,51.65,29.94,149.44,0.000000
22147,52.16,29.70,149.37,0.000000
22196,52.05,29.79,149.48,0.000000
22244,52.73,29.92,149.48,0.000000
22291,52.68,29.93,149.44,0.000000
22337,52.74,29.96,149.48,0.000000
22386,52.57,29.78,149.39,0.000000
22435,52.91,29.83,149.46,0.000000
22482,52.44,30.01,149.44,0.000000
22529,52.50,29.93,149.39,0.000000
22577,52.85,29.72,149.35,0.000000
22624,52.86,29.96,149.41,0.000000
22670,52.86,29.96,149.41,0.000000
22718,52.80,29.85,149.33,0.000000
22765,52.83,29.80,149.30,0.000000
22812,52.60,29.76,149.27,0.000000
22861,52.68,29.72,149.27,0.000000
22910,52.77,29.80,149.22,0.000000
22958,52.98,29.88,149.22,0.000000
23004,52.98,29.88,149.22,0.000000
23059,53.08,29.70,149.17,0.000000
23106,53.16,29.79,149.19,0.000000
23155,52.79,29.86,149.13,0.000000
23201,53.17,29.91,149.17,0.000000
23249,53.11,29.72,149.14,0.000000
23295,53.07,29.96,149.15,0.000000
23341,53.13,30.06,149.15,0.000000
23390,52.80,29.91,149.21,0.000000
23439,53.04,29.90,149.18,0.000000
23486,53.27,30.02,149.29,0.000000
23534,53.39,29.84,149.26,0.000000
23581,52.95,29.86,149.17,0.000000
23629,52.86,29.80,149.22,0.000000
23676,52.82,29.82,149.22,0.000000
23725,52.80,29.98,149.27,0.000000
23773,52.93,29.88,149.21,0.000000
23821,52.68,29.92,149.25,0.000000
23868,52.59,29.85,149.26,0.000000
23916,52.69,29.89,149.35,0.000000
23963,53.06,29.93,149.31,0.000000
24013,53.17,29.92,149.34,0.000000
24061,53.08,29.90,149.35,0.000000
24109,52.80,29.89,149.35,0.000000
24157,53.20,29.94,149.35,0.000000
24205,53.49,29.88,149.41,0.000000
24256,52.85,29.82,149.39,0.000000
24305,52.96,29.54,149.34,0.000000
24355,52.94,29.92,149.38,0.000000
24405,52.82,30.00,149.41,0.000000
24459,53.56,29.79,149.27,0.000000
24508,52.96,30.08,149.31,0.000000
24556,52.85,29.87,149.25,0.000000
24605,53.30,29.84,149.28,0.000000
24657,53.27,29.77,149.29,0.000000
24709,53.33,30.01,149.24,0.000000
24760,53.61,30.00,149.33,0.000000
24812,53.42,29.90,149.29,0.000000
24860,53.41,29.63,149.26,0.000000
24916,53.55,29.85,149.30,0.000000
24968,53.33,29.66,149.26,0.000000
25021,53.58,29.66,149.27,0.000000
25104,53.19,29.79,149.34,0.000000
25163,52.57,29.69,149.37,0.000000
25230,53.32,30.00,149.43,0.000000
25287,53.07,30.05,149.45,0.000000
25343,52.84,30.00,149.36,0.000000
25397,52.72,29.91,149.42,0.000000
25454,52.64,30.02,149.45,0.000000
25509,53.02,29.78,149.40,0.000000
25564,52.61,29.94,149.41,0.000000
25620,52.60,29.81,149.37,0.000000
25677,52.80,29.76,149.39,0.000000
25743,52.84,30.01,149.43,0.000000
25798,53.97,29.81,149.42,0.000000
25853,53.15,29.87,149.44,0.000000
25908,52.97,29.84,149.36,0.000000
25961,53.59,29.56,149.39,0.000000
26014,53.19,30.10,149.47,0.000000
26079,52.49,29.77,149.36,0.000000
26141,53.70,29.73,149.44,0.000000
26208,53.77,29.60,149.42,0.000000
26262,52.99,29.76,149.41,0.000000
26317,53.23,29.96,149.35,0.000000
26368,53.30,29.93,149.38,0.000000
26423,53.10,29.92,149.24,0.000000
26476,52.38,30.10,149.29,0.000000
26531,52.87,29.92,149.26,0.000000
26587,52.60,29.86,149.19,0.000000
26640,53.23,29.83,149.10,0.000000
26696,53.38,30.03,149.10,0.000000
26755,53.13,30.02,149.13,0.000000
26809,53.36,30.09,149.11,0.000000
26873,52.77,29.87,149.02,0.000000
26929,52.60,29.95,149.05,0.000000
26984,52.88,30.22,149.05,0.000000
27038,53.26,30.05,149.03,0.000000
27096,52.62,30.09,149.08,0.000000
27151,53.34,29.75,149.08,0.000000
27205,52.99,29.72,149.04,0.000000
27271,52.88,29.86,149.10,0.000000
27328,53.64,29.87,149.07,0.000000
27381,52.84,30.17,149.21,0.000000
27435,52.60,29.87,149.14,0.000000
27488,52.60,29.87,149.14,0.000000
27552,52.64,29.79,149.17,0.000000
27606,52.33,30.08,149.19,0.000000
27675,52.55,29.80,149.08,0.000000
27732,52.64,29.91,149.12,0.000000
27789,52.83,29.93,149.17,0.000000
27846,52.52,29.81,149.08,0.000000
27900,52.28,30.17,149.14,0.000000
27964,51.92,29.94,149.12,0.000000
28016,52.08,29.91,149.14,0.000000
28070,52.59,30.11,149.17,0.000000
28123,52.29,30.02,149.16,0.000000
28177,52.43,29.94,149.16,0.000000
28231,51.56,29.92,149.14,0.000000
28289,51.39,30.02,149.12,0.000000
28343,51.74,30.09,149.08,0.000000
28397,52.51,29.96,149.05,0.000000
28449,52.79,30.03,149.08,0.000000
28504,52.64,30.05,149.11,0.000000
28559,52.83,29.95,149.04,0.000000
28622,52.27,29.96,148.98,0.000000
28673,52.49,30.24,149.04,0.000000
28724,52.72,29.95,149.00,0.000000
28776,52.86,30.04,148.98,0.000000
28828,52.72,30.01,148.91,0.000000
28883,52.64,30.02,148.82,0.000000
28935,52.69,30.17,148.84,0.000000
28989,52.43,29.91,148.80,0.000000
29040,52.54,30.19,148.79,0.000000
29094,52.63,30.17,148.79,0.000000
29147,52.04,30.10,148.70,0.000000
29200,52.55,30.14,148.70,0.000000
29252,52.68,30.15,148.72,0.000000
29304,52.82,30.30,148.70,0.000000
29357,52.62,30.28,148.75,0.000000
29410,52.71,30.26,148.69,0.000000
29463,52.54,30.33,148.70,0.000000
29515,52.05,30.23,148.67,0.000000
29564,52.05,30.23,148.67,0.000000
29614,52.08,30.22,148.59,0.000000
29672,52.37,30.28,148.64,0.000000
29721,52.80,30.15,148.59,0.000000
29769,52.39,30.20,148.60,0.000000
29816,52.99,30.13,148.65,0.000000
29862,52.72,30.25,148.58,0.000000
29910,52.99,30.20,148.59,0.000000
29958,52.51,30.01,148.55,0.000000
30007,52.70,30.15,148.57,0.000000
30055,53.06,30.44,148.59,0.000000
30105,52.95,30.31,148.58,0.000000
30154,53.13,30.28,148.60,0.000000
30201,53.34,30.22,148.63,0.000000
30250,52.48,30.15,148.50,0.000000
30301,53.36,30.18,148.60,0.000000
30349,52.88,30.14,148.62,0.000000
30399,53.12,29.95,148.51,0.000000
30452,53.39,29.90,148.59,0.000000
30502,53.37,30.09,148.61,0.000000
30554,52.93,29.82,148.53,0.000000
30601,52.91,30.25,148.63,0.000000
30652,52.79,29.99,148.63,0.000000
30702,52.95,30.16,148.69,0.000000
30757,53.07,30.08,148.70,0.000000
30807,53.26,30.10,148.71,0.000000
30859,53.07,30.08,148.64,0.000000
30914,52.46,30.35,148.68,0.000000
30969,53.16,30.32,148.72,0.000000
31017,52.88,30.16,148.66,0.000000
31064,52.40,30.30,148.76,0.000000
31113,53.34,30.23,148.72,0.000000
31165,52.63,30.14,148.68,0.000000
31218,52.37,30.31,148.70,0.000000
31268,52.90,30.22,148.71,0.000000
31320,53.05,29.97,148.76,0.000000
31372,52.61,30.03,148.82,0.000000
31425,53.45,30.09,148.81,0.000000
31473,53.07,29.93,148.94,0.000000
31522,52.90,30.09,148.91,0.000000
31571,53.12,30.14,148.96,0.000000
31622,53.30,30.10,149.03,0.000000
31668,52.50,29.92,148.95,0.000000
31717,52.70,30.14,149.04,0.000000
31765,52.86,30.31,149.10,0.000000
31815,52.93,30.09,149.04,0.000000
31862,53.07,29.88,149.03,0.000000
31911,52.75,30.05,149.05,0.000000
31960,52.65,30.21,149.09,0.000000
32008,52.63,30.30,149.09,0.000000
32056,52.81,30.09,149.10,0.000000
32105,52.41,30.20,149.18,0.000000
32156,52.39,30.08,149.12,0.000000
